IDSURVEY CID z MU MUERR
5 2008O 0.03824 36.13940 0.13410
4 05D3jr 0.37062 41.41560 0.12410
59 2011im 0.01561 34.38510 0.21310
1 20040 0.28665 40.78840 0.17440
15 370329 0.47786 42.39820 0.18180
10 1300516 0.31040 40.79150 0.14050
10 1303279 0.17240 39.36920 0.14210
64 2006ef 0.01745 34.51750 0.17200
65 2009gf 0.01834 34.51890 0.16470
1 16021 0.12357 38.71480 0.12710
15 390449 0.25022 40.47020 0.12250
64 2006cf 0.04274 36.41150 0.13750
1 16099 0.19595 39.90790 0.13120
63 2002hu 0.02977 36.04120 0.13830
51 2013fa 0.01478 33.99840 0.17640
10 1336687 0.23370 40.33780 0.13120
1 16350 0.23693 40.35730 0.16100
4 06D3gn 0.25085 40.56960 0.12460
150 PS15aii 0.04793 36.71510 0.12930
1 14437 0.14806 39.13850 0.12920
15 151034 0.13281 38.93180 0.12360
62 1997cn 0.01659 34.80400 0.17090
50 1999cp 0.00988 33.31690 0.12409
15 500057 0.38061 41.57370 0.13090
64 2007ca 0.01437 34.45880 0.17910
10 1303496 0.17980 39.65790 0.14280
