IDSURVEY CID z MU MUERR
4 05D1ix 0.48888 42.19580 0.12800
4 05D4ef 0.60328 42.85730 0.12930
1 15203 0.20329 39.96780 0.12120
57 2001cj 0.02494 35.31270 0.14880
50 2000bh 0.02412 34.98640 0.14820
150 ASASSN-16hc 0.05151 36.70760 0.10550
1 2246 0.19434 39.95210 0.16350
1 18782 0.36637 41.37770 0.19820
5 2006gj 0.02803 35.81270 0.18390
150 ATLAS16agv 0.04819 36.61700 0.11320
15 120369 0.33047 41.35670 0.09030
4 05D1cl 0.82860 43.71760 0.18270
57 2004bw 0.02116 34.90900 0.13290
4 05D3mn 0.76076 43.18010 0.13670
4 04D2gp 0.73395 43.33970 0.26760
4 04D4ih 0.93191 43.85390 0.16780
4 04D3gx 0.91081 43.89450 0.19290
1 12881 0.23685 40.17760 0.18480
1 13956 0.26083 41.30270 0.26480
4 04D2mc 0.34949 41.13360 0.15180
4 05D4gw 0.80605 43.46510 0.25310
62 1997bq 0.01091 33.17960 0.21850
150 2017erp 0.00676 32.28080 0.31140
10 1346387 0.34446 41.43560 0.09260
1 15704 0.36962 41.49460 0.16930
15 350080 0.28588 40.79730 0.11940
1 17809 0.28758 40.55020 0.18100
1 14019 0.21521 40.52810 0.17120
15 370394 0.33090 41.12030 0.12520
1 1688 0.35774 41.38830 0.22060
15 110719 0.42793 42.40010 0.16650
4 04D3oe 0.75675 43.37140 0.16940
4 03D1fc 0.33103 41.12810 0.09010
1 19757 0.40138 41.34150 0.14890
5 2006bh 0.01028 33.38820 0.19520
150 PS16bby 0.05468 36.92900 0.12430
150 ASASSN-15nr 0.02344 34.91760 0.18120
15 440162 0.41936 41.80770 0.13420
4 03D1aw 0.58080 42.81130 0.17240
15 300105 0.09205 38.26470 0.18010
1 17435 0.21689 40.15770 0.13360
150 Gaia16bba 0.02990 35.55040 0.12620
1 2561 0.11760 38.66320 0.16880
15 370563 0.18527 39.90890 0.09580
4 05D3jr 0.37062 41.38750 0.17590
15 570062 0.12383 38.94630 0.10450
56 2012fr 0.00502 31.24210 0.39020
1 18604 0.17498 39.83350 0.12770
56 2013aa 0.00331 30.55660 0.56270
57 2001en 0.01502 34.10430 0.15870
10 1337228 0.57737 42.76350 0.20580
1 8598 0.36033 41.44510 0.16870
